atm_id,transaction_date,daily_transactions,avg_withdrawal_amount,daily_cash_dispensed,cash_balance_eod,was_replenished
ATM001,2024-09-23,122,91.72,11226.47,55784.67,False
ATM001,2024-09-24,124,93.1,11580.72,108419.28,True
ATM001,2024-09-25,118,87.88,10382.03,98037.26,False
ATM001,2024-09-26,137,87.77,12022.57,86014.69,False
ATM001,2024-09-27,211,89.52,18864.01,67150.68,False
ATM001,2024-09-28,223,89.57,19936.79,100063.21,True
ATM001,2024-09-29,172,87.28,14993.68,85069.52,False
ATM001,2024-09-30,143,91.79,13162.3,71907.22,False
ATM001,2024-10-01,135,91.5,12354.35,59552.88,False
ATM001,2024-10-02,131,95.49,12533.73,107466.27,True
ATM001,2024-10-03,151,89.17,13446.81,94019.46,False
ATM001,2024-10-04,202,87.21,17587.22,76432.24,False
ATM001,2024-10-05,212,87.6,18600.54,57831.7,False
ATM001,2024-10-06,162,90.9,14708.77,105291.23,True
ATM001,2024-10-07,143,87.93,12571.81,92719.42,False
ATM001,2024-10-08,139,92.0,12807.98,79911.44,False
ATM001,2024-10-09,138,88.24,12139.92,67771.52,False
ATM001,2024-10-10,155,90.51,14058.51,105941.49,True
ATM001,2024-10-11,187,89.82,16752.55,89188.94,False
ATM001,2024-10-12,236,87.57,20669.23,68519.71,False
ATM001,2024-10-13,174,86.07,14979.47,53540.24,False
ATM001,2024-10-14,147,93.37,13755.11,106244.89,True
ATM001,2024-10-15,130,90.98,11815.11,94429.78,False
ATM001,2024-10-16,119,86.88,10370.65,84059.13,False
ATM001,2024-10-17,152,87.11,13253.66,70805.47,False
ATM001,2024-10-18,204,95.39,19490.5,100509.5,True
ATM001,2024-10-19,213,87.74,18689.1,81820.4,False
ATM001,2024-10-20,159,94.35,15027.37,66793.04,False
ATM001,2024-10-21,127,90.67,11499.59,55293.45,False
ATM001,2024-10-22,160,85.54,13661.02,106338.98,True
ATM001,2024-10-23,126,88.86,11223.39,95115.6,False
ATM001,2024-10-24,141,92.19,13044.9,82070.7,False
ATM001,2024-10-25,221,85.21,18856.08,63214.62,False
ATM001,2024-10-26,238,88.44,21039.09,98960.91,True
ATM001,2024-10-27,183,88.31,16161.03,82799.88,False
ATM001,2024-10-28,131,91.46,11980.91,70818.97,False
ATM001,2024-10-29,139,91.21,12685.51,58133.46,False
ATM001,2024-10-30,119,91.45,10910.03,109089.97,True
ATM001,2024-10-31,139,90.64,12584.13,96505.84,False
ATM001,2024-11-01,217,91.21,19801.79,76704.04,False
ATM001,2024-11-02,262,86.54,22631.8,54072.25,False
ATM001,2024-11-03,202,90.65,18336.13,101663.87,True
ATM001,2024-11-04,151,93.92,14159.89,87503.98,False
ATM001,2024-11-05,153,90.09,13759.42,73744.55,False
ATM001,2024-11-06,167,88.33,14761.36,58983.19,False
ATM001,2024-11-07,186,88.56,16499.54,103500.46,True
ATM001,2024-11-08,227,93.68,21255.57,82244.89,False
ATM001,2024-11-09,267,83.49,22264.13,59980.76,False
ATM001,2024-11-10,202,96.88,19524.53,40456.23,False
ATM001,2024-11-11,169,84.77,14368.28,105631.72,True
ATM001,2024-11-12,156,89.23,13885.37,91746.35,False
ATM001,2024-11-13,164,86.99,14294.78,77451.57,False
ATM001,2024-11-14,182,91.42,16625.24,60826.33,False
ATM001,2024-11-15,214,91.89,19704.07,100295.93,True
ATM001,2024-11-16,306,90.46,27646.68,72649.24,False
ATM001,2024-11-17,190,89.62,17035.4,55613.85,False
ATM001,2024-11-18,181,85.33,15432.25,40181.59,False
ATM001,2024-11-19,161,88.95,14354.69,105645.31,True
ATM001,2024-11-20,184,89.53,16486.42,89158.89,False
ATM001,2024-11-21,206,87.02,17941.29,71217.6,False
ATM001,2024-11-22,251,90.86,22795.02,48422.58,False
ATM001,2024-11-23,249,90.48,22533.08,97466.92,True
ATM001,2024-11-24,213,89.13,18987.53,78479.39,False
ATM001,2024-11-25,146,89.95,13130.72,65348.67,False
ATM001,2024-11-26,150,89.08,13321.78,52026.89,False
ATM001,2024-11-27,169,85.39,14403.6,105596.4,True
ATM001,2024-11-28,156,91.3,14257.12,91339.28,False
ATM001,2024-11-29,254,83.08,21090.94,70248.34,False
ATM001,2024-11-30,279,90.74,25298.8,44949.54,False
ATM001,2024-12-01,192,86.44,16592.24,103407.76,True
ATM001,2024-12-02,172,90.94,15672.35,87735.41,False
ATM001,2024-12-03,184,91.13,16765.98,70969.43,False
ATM001,2024-12-04,166,89.55,14884.62,56084.81,False
ATM001,2024-12-05,184,91.69,16903.61,103096.39,True
ATM001,2024-12-06,270,88.59,23880.32,79216.08,False
ATM001,2024-12-07,262,88.71,23227.56,55988.52,False
ATM001,2024-12-08,196,94.05,18435.21,37553.31,False
ATM001,2024-12-09,161,88.85,14314.5,105685.5,True
ATM001,2024-12-10,162,89.34,14505.89,91179.61,False
ATM001,2024-12-11,185,83.92,15484.39,75695.21,False
ATM001,2024-12-12,171,87.89,15066.65,60628.57,False
ATM001,2024-12-13,213,87.4,18597.16,101402.84,True
ATM001,2024-12-14,251,89.46,22460.47,78942.37,False
ATM001,2024-12-15,211,89.34,18855.67,60086.7,False
ATM001,2024-12-16,153,89.85,13752.69,46334.0,False
ATM001,2024-12-17,175,87.36,15271.86,104728.14,True
ATM001,2024-12-18,149,91.51,13591.56,91136.58,False
ATM001,2024-12-19,171,91.75,15718.61,75417.98,False
ATM001,2024-12-20,238,91.89,21856.07,53561.91,False
ATM001,2024-12-21,248,89.97,22272.71,97727.29,True
ATM001,2024-12-22,198,86.72,17187.08,80540.21,False
ATM001,2024-12-23,144,91.85,13249.35,67290.86,False
ATM001,2024-12-24,159,87.24,13846.09,53444.77,False
ATM001,2024-12-25,155,93.05,14388.89,105611.11,True
ATM001,2024-12-26,158,85.96,13608.59,92002.52,False
ATM001,2024-12-27,218,93.95,20508.34,71494.18,False
ATM001,2024-12-28,265,92.07,24424.8,47069.38,False
ATM001,2024-12-29,185,86.98,16104.44,103895.56,True
ATM001,2024-12-30,169,90.16,15252.43,88643.14,False
ATM001,2024-12-31,165,89.49,14746.14,73896.99,False
ATM002,2024-01-01,118,97.3,11521.75,98478.25,False
ATM002,2024-01-02,106,88.6,9351.9,89126.35,False
ATM002,2024-01-03,117,98.39,11469.74,77656.62,False
ATM002,2024-01-04,122,89.7,10971.6,66685.02,False
ATM002,2024-01-05,167,97.65,16260.96,93739.04,True
ATM002,2024-01-06,208,96.47,20046.41,73692.63,False
ATM002,2024-01-07,136,92.45,12544.56,61148.07,False
ATM002,2024-01-08,116,94.15,10919.98,50228.09,False
ATM002,2024-01-09,97,100.84,9756.32,40471.77,False
ATM002,2024-01-10,123,98.24,12116.3,97883.7,True
ATM002,2024-01-11,113,97.44,11048.49,86835.21,False
ATM002,2024-01-12,175,96.26,16888.09,69947.12,False
ATM002,2024-01-13,199,96.81,19292.09,50655.03,False
ATM002,2024-01-14,140,96.82,13559.78,37095.25,False
ATM002,2024-01-15,124,89.92,11174.65,98825.35,True
ATM002,2024-01-16,113,93.41,10536.27,88289.07,False
ATM002,2024-01-17,98,99.79,9776.69,78512.38,False
ATM002,2024-01-18,135,98.87,13300.26,65212.13,False
ATM002,2024-01-19,166,98.85,16439.71,48772.42,False
ATM002,2024-01-20,185,95.58,17691.11,92308.89,True
ATM002,2024-01-21,124,96.13,11926.51,80382.37,False
ATM002,2024-01-22,120,91.29,10957.45,69424.92,False
ATM002,2024-01-23,110,94.77,10437.31,58987.62,False
ATM002,2024-01-24,124,97.55,12126.81,46860.8,False
ATM002,2024-01-25,123,95.71,11793.57,98206.43,True
ATM002,2024-01-26,172,94.42,16198.68,82007.75,False
ATM002,2024-01-27,173,94.57,16386.35,65621.4,False
ATM002,2024-01-28,134,91.44,12220.07,53401.32,False
ATM002,2024-01-29,118,96.12,11308.76,42092.56,False
ATM002,2024-01-30,98,94.65,9243.32,100756.68,True
ATM002,2024-01-31,117,98.02,11464.89,89291.8,False
ATM002,2024-02-01,114,95.11,10821.75,78470.04,False
ATM002,2024-02-02,142,91.91,13009.47,65460.57,False
ATM002,2024-02-03,161,96.08,15476.72,49983.84,False
ATM002,2024-02-04,123,98.13,12042.19,97957.81,True
ATM002,2024-02-05,101,91.45,9239.92,88717.89,False
ATM002,2024-02-06,92,95.62,8755.04,79962.86,False
ATM002,2024-02-07,97,93.35,9010.95,70951.91,False
ATM002,2024-02-08,110,93.56,10251.78,60700.12,False
ATM002,2024-02-09,138,95.89,13208.57,96791.43,True
ATM002,2024-02-10,153,95.7,14688.66,82102.77,False
ATM002,2024-02-11,122,91.75,11216.97,70885.8,False
ATM002,2024-02-12,91,99.1,9016.91,61868.89,False
ATM002,2024-02-13,93,88.97,8253.37,53615.52,False
ATM002,2024-02-14,84,95.08,8022.55,101977.45,True
ATM002,2024-02-15,154,94.66,14555.15,87422.29,False
ATM002,2024-02-16,248,87.38,21668.4,88331.6,True
ATM002,2024-02-17,225,99.45,22397.77,65933.83,False
ATM002,2024-02-18,156,93.92,14663.91,51269.91,False
ATM002,2024-02-19,138,92.45,12757.48,97242.52,True
ATM002,2024-02-20,127,99.07,12618.44,84624.08,False
ATM002,2024-02-21,159,94.04,14987.76,69636.32,False
ATM002,2024-02-22,175,95.1,16595.56,93404.44,True
ATM002,2024-02-23,238,94.73,22502.36,70902.08,False
ATM002,2024-02-24,229,96.04,21986.31,48915.77,False
ATM002,2024-02-25,203,97.43,19823.22,90176.78,True
ATM002,2024-02-26,131,97.76,12798.29,77378.49,False
ATM002,2024-02-27,134,93.6,12587.06,64791.43,False
ATM002,2024-02-28,148,95.09,14044.34,95955.66,True
ATM002,2024-02-29,156,95.04,14809.68,81145.98,False
ATM002,2024-03-01,212,96.21,20377.32,60768.66,False
ATM002,2024-03-02,196,96.9,19023.18,90976.82,True
ATM002,2024-03-03,163,90.89,14814.3,76162.52,False
ATM002,2024-03-04,141,95.24,13392.98,62769.54,False
ATM002,2024-03-05,126,97.37,12298.19,97701.81,True
ATM002,2024-03-06,128,93.84,11997.1,85704.71,False
ATM002,2024-03-07,147,94.87,13941.08,71763.63,False
ATM002,2024-03-08,220,92.13,20295.16,89704.84,True
ATM002,2024-03-09,241,95.18,22918.53,66786.31,False
ATM002,2024-03-10,155,89.42,13900.13,52886.18,False
ATM002,2024-03-11,142,94.37,13436.27,96563.73,True
ATM002,2024-03-12,135,94.92,12816.82,83746.91,False
ATM002,2024-03-13,137,97.7,13388.64,70358.28,False
ATM002,2024-03-14,147,91.66,13436.88,96563.12,True
ATM002,2024-03-15,192,95.82,18436.44,78126.67,False
ATM002,2024-03-16,176,93.77,16483.52,61643.15,False
ATM002,2024-03-17,102,90.14,9236.7,52406.46,False
ATM002,2024-03-18,94,93.41,8797.58,43608.88,False
ATM002,2024-03-19,91,95.11,8700.49,34908.39,False
ATM002,2024-03-20,91,97.99,8942.04,101057.96,True
ATM002,2024-03-21,104,92.54,9606.39,91451.57,False
ATM002,2024-03-22,157,90.62,14272.75,77178.82,False
ATM002,2024-03-23,163,95.29,15525.65,61653.17,False
ATM002,2024-03-24,109,99.53,10891.5,50761.67,False
ATM002,2024-03-25,89,100.87,8928.37,101071.63,True
ATM002,2024-03-26,96,91.36,8812.64,92258.99,False
ATM002,2024-03-27,100,91.93,9184.16,83074.83,False
ATM002,2024-03-28,99,96.13,9555.6,73519.23,False
ATM002,2024-03-29,154,93.23,14349.59,59169.64,False
ATM002,2024-03-30,165,98.3,16189.02,93810.98,True
ATM002,2024-03-31,126,96.51,12168.42,81642.56,False
ATM002,2024-04-01,134,89.64,12003.91,69638.64,False
ATM002,2024-04-02,111,92.53,10244.26,59394.39,False
ATM002,2024-04-03,115,93.37,10782.62,48611.77,False
ATM002,2024-04-04,116,100.36,11647.86,98352.14,True
ATM002,2024-04-05,166,96.18,15957.9,82394.24,False
